n,live_before,absorbed,merged,live_after
19329,1167,16,0,1151
19673,1140,9,0,1131
19719,1131,23,0,1108
19737,1107,7,0,1100
19865,1092,6,0,1086
19993,1081,7,0,1074
20000,1074,0,0,1074
20015,1073,1,0,1072
20359,1069,2,0,1067
20417,1066,12,0,1054
20455,1054,1,0,1053
20503,1051,9,0,1042
20647,1033,13,0,1020
20695,1018,7,0,1011
20823,1007,6,0,1001
20863,1001,1,0,1000
20871,1000,10,0,990
21017,985,9,0,976
21055,976,1,0,975
21889,968,2,0,966
22399,959,2,0,957
22503,953,5,0,948
22639,946,24,0,922
22785,921,5,0,916
22809,916,7,0,909
23183,903,7,0,896
23327,888,11,0,877
23719,867,1,0,866
24063,860,4,0,856
24127,855,4,0,851
24247,851,13,0,838
24911,826,2,0,824
25217,814,1,0,813
25239,813,4,0,809
25945,790,1,0,789
26049,789,5,0,784
26807,773,3,0,770
27033,768,13,0,755
27065,755,1,0,754
27545,747,7,0,740
27583,740,1,0,739
27863,737,1,0,736
28577,726,3,0,723
29687,713,7,0,706
30113,703,4,0,699
31009,693,2,0,691
31585,687,10,0,677
31647,675,5,0,670
33007,655,2,0,653
33273,650,6,0,644
33463,643,2,0,641
33505,640,2,0,638
34265,634,2,0,632
34415,632,2,0,630
34773,630,2,0,628
36127,622,1,0,621
36473,616,1,0,615
37207,606,5,0,601
37593,596,8,0,588
38799,582,6,0,576
38943,576,4,0,572
39649,567,2,0,565
40000,561,0,0,561
40463,558,1,0,557
40495,557,1,0,556
40669,556,1,0,555
40857,553,8,0,545
42201,537,3,0,534
42359,533,8,0,525
42735,525,4,0,521
42745,521,2,0,519
43631,514,6,0,508
43735,508,1,0,507
44813,500,2,0,498
44985,495,6,0,489
45369,485,4,0,481
46433,476,6,0,470
47055,467,6,0,461
48641,454,1,0,453
48857,453,1,0,452
49711,451,17,0,434
51713,428,5,0,423
52409,420,2,0,418
54831,413,1,0,412
55009,411,1,0,410
55833,410,7,0,403
60000,394,0,0,394
63903,386,2,0,384
64215,377,1,0,376
64295,375,3,0,372
64391,372,2,0,370
68281,356,9,0,347
69177,347,4,0,343
70401,342,2,0,340
71649,339,1,0,338
71791,338,1,0,337
75609,320,1,0,319
79673,318,1,0,317
80000,317,0,0,317
87841,306,1,0,305
90497,303,1,0,302
97791,292,3,0,289
100000,288,0,0,288
104153,283,3,0,280
105461,277,2,0,275
107713,273,13,0,260
114167,252,3,0,249
118431,243,8,0,235
120000,235,0,0,235
120761,233,5,0,228
126615,227,5,0,222
130873,222,1,0,221
138303,217,1,0,216
140000,216,0,0,216
140303,215,3,0,212
141977,212,1,0,211
145943,211,7,0,204
148833,204,1,0,203
151663,203,2,0,201
153239,201,3,0,198
160000,197,0,0,197
160033,197,1,0,196
162879,196,1,0,195
177185,191,2,0,189
177669,189,6,0,183
178151,183,7,0,176
180000,176,0,0,176
180725,176,2,0,174
186191,173,1,0,172
193621,171,1,0,170
197655,169,10,0,159
198105,159,1,0,158
200000,158,0,0,158
208903,156,1,0,155
215769,155,1,0,154
220000,154,0,0,154
221093,154,1,0,153
223343,153,1,0,152
227207,152,1,0,151
240000,151,0,0,151
244449,149,4,0,145
247237,145,1,0,144
258727,144,2,0,142
260000,142,0,0,142
269017,139,1,0,138
269431,138,3,0,135
280000,135,0,0,135
287111,133,1,0,132
292511,132,2,0,130
292735,130,11,0,119
300000,116,0,0,116
304007,116,1,0,115
308487,115,1,0,114
320000,114,0,0,114
334589,112,3,0,109
339353,109,2,0,107
340000,107,0,0,107
360000,107,0,0,107
362749,107,1,0,106
378081,106,4,0,102
380000,102,0,0,102
386623,102,1,0,101
398823,101,2,0,99
400000,99,0,0,99
405997,99,3,0,96
406817,96,2,0,94
420000,94,0,0,94
427989,93,3,0,90
429661,90,1,0,89
432543,89,3,0,86
440000,86,0,0,86
443033,85,3,0,82
460000,82,0,0,82
480000,81,0,0,81
500000,81,0,0,81
520000,81,0,0,81
535897,81,1,0,80
538201,80,2,0,78
540000,78,0,0,78
552737,78,2,0,76
560000,76,0,0,76
580000,75,0,0,75
600000,75,0,0,75
603695,75,1,0,74
620000,74,0,0,74
640000,74,0,0,74
645279,74,2,0,72
654421,72,1,0,71
660000,71,0,0,71
668661,71,1,0,70
676701,70,2,0,68
677479,68,1,0,67
680000,67,0,0,67
700000,67,0,0,67
717599,67,1,0,66
720000,66,0,0,66
740000,66,0,0,66
760000,66,0,0,66
773721,66,1,0,65
